Year of Release,Movie Time,IMDB Rating,IMDB Votes,Directors,Tomatometer Rating,Tomatometer Count,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Action,Adventure,Animation,Biography,Comdey,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Certified-Fresh,Fresh,Rotten,Spilled,Upright,G,NR,PG,PG-13,R,Winner
2012,120,7.7,588984,23,96.0,356.0,90,208711.0,63.0,341.0,15.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
2012,127,7.9,96258,167,93.0,223.0,82,20897.0,59.0,207.0,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2012,165,8.4,1420092,197,87.0,288.0,91,429231.0,55.0,250.0,38.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
2011,118,7.3,223752,259,88.0,255.0,82,169196.0,49.0,177.0,33.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2012,122,7.7,679022,54,92.0,256.0,86,260499.0,57.0,236.0,21.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2013,134,8.1,662741,236,95.0,365.0,90,140313.0,64.0,348.0,17.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2013,115,7.7,115031,8,91.0,247.0,83,44798.0,56.0,225.0,23.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2014,119,7.7,599240,259,88.0,321.0,82,180827.0,69.0,311.0,58.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2014,133,7.3,455885,259,88.0,321.0,82,180827.0,69.0,311.0,58.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2014,99,8.1,741950,253,91.0,305.0,86,97547.0,64.0,280.0,26.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2014,128,7.5,89059,18,99.0,308.0,86,61482.0,61.0,304.0,4.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2015,129,8.1,440413,259,97.0,367.0,93,70385.0,59.0,355.0,12.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2015,142,7.6,298091,238,90.0,307.0,87,65466.0,58.0,278.0,30.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2015,120,8.1,922840,77,97.0,422.0,85,128344.0,59.0,408.0,14.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2015,144,8.0,791919,205,91.0,374.0,91,131656.0,60.0,340.0,34.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2015,156,8.0,738208,5,78.0,397.0,84,105270.0,53.0,311.0,86.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2015,118,8.1,391182,139,93.0,312.0,93,49668.0,55.0,292.0,21.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2016,111,7.4,287563,20,98.0,384.0,79,45533.0,63.0,378.0,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2016,116,7.9,629568,57,94.0,426.0,82,83315.0,59.0,402.0,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2016,102,7.6,213325,53,97.0,280.0,88,40088.0,54.0,272.0,8.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2016,127,7.8,211233,259,88.0,458.0,82,40088.0,66.0,415.0,8.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017,123,7.3,391523,86,92.0,448.0,72,25784.0,59.0,414.0,34.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2017,94,7.4,258867,85,99.0,391.0,79,22610.0,56.0,388.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2017,115,8.1,463268,156,90.0,405.0,87,22869.0,59.0,366.0,39.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2018,130,8.2,422669,191,77.0,354.0,91,10093.0,49.0,274.0,80.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
2018,119,7.5,183744,261,93.0,405.0,69,7189.0,52.0,378.0,27.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2018,136,7.6,354157,30,90.0,517.0,79,20442.0,62.0,466.0,52.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2019,132,8.6,651517,259,88.0,439.0,82,5061.0,53.0,421.0,125.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
2019,119,8.3,485648,259,88.0,439.0,82,5061.0,53.0,421.0,125.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2019,209,7.8,349303,157,96.0,439.0,86,1057.0,53.0,421.0,19.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2019,122,8.4,1056051,244,68.0,574.0,88,66303.0,56.0,393.0,182.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2019,135,7.8,163410,259,88.0,381.0,82,66303.0,48.0,359.0,182.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2020,107,7.4,123041,259,88.0,381.0,82,184.0,48.0,359.0,22.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2020,115,7.5,57976,259,88.0,381.0,82,184.0,48.0,359.0,22.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2020,113,7.5,122269,259,88.0,381.0,82,184.0,48.0,359.0,22.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2020,129,7.8,156283,259,88.0,381.0,82,184.0,48.0,359.0,22.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
